fireName,hectares,alarmDate,containmentDate,year,days,startMonth,region
AUGUSTCOMPLEX,417927.9644,8/16/2020,11/11/2020,2020,87,August,North Coast
BRICEBURG,2229.150147,10/6/2019,10/20/2019,2019,14,October,Central Coast
CALDOR,89755.56455,8/15/2021,11/18/2021,2021,95,August,Sierra Nevada
CARMEL,2831.562988,8/18/2020,9/6/2020,2020,19,August,Central Coast
CASTLE,69060.29947,8/19/2020,1/4/2021,2020,138,August,Sierra Nevada
CREEK,153719.9514,9/4/2020,12/24/2020,2020,111,September,Sierra Nevada
CREWS,2231.109375,7/5/2020,7/15/2020,2020,10,July,North Coast
CZULIGHTNINGCOMPLEX,35027.72157,8/16/2020,9/24/2020,2020,39,August,Central Coast
DEVIL,3590.345947,9/9/2020,11/16/2020,2020,68,September,Sierra Nevada
DIXIE,389884.6621,7/14/2021,10/25/2021,2021,103,July,Sierra Nevada
DOLAN,50395.38648,8/18/2020,12/31/2020,2020,135,August,Central Coast
FAWN,3470.783691,9/22/2021,9/29/2021,2021,7,September,Sierra Nevada
FRENCH,10738.60785,8/18/2021,10/19/2021,2021,62,August,Sierra Nevada
GLASS,27310.56253,9/27/2020,10/20/2020,2020,23,September,Central Coast
HENNESSEY,123574.2614,8/17/2020,9/16/2020,2020,30,August,Central Coast
HOG,3871.452853,7/18/2020,8/28/2020,2020,41,July,Sierra Nevada
KINCADE,31469.89073,10/23/2019,11/10/2019,2019,18,October,Central Coast
KNPComplex,35717.15904,9/10/2021,12/16/2021,2021,97,September,Sierra Nevada
LOYALTON,18907.68919,8/14/2020,8/27/2020,2020,13,August,Sierra Nevada
MCCASH,38434.0348,8/1/2021,10/27/2021,2021,87,August,North Coast
MCFARLAND,49554.02671,7/30/2021,10/26/2021,2021,88,July,North Coast
MINERAL,12006.07042,7/13/2020,7/26/2020,2020,13,July,Central Coast
MONUMENT,90290.57062,7/31/2021,11/3/2021,2021,95,July,North Coast
NORTHCOMPLEX,129015.3784,8/17/2020,12/3/2020,2020,108,August,Sierra Nevada
RATTLESNAKE,3408.614014,8/16/2020,12/28/2020,2020,134,August,Sierra Nevada
REDSALMONCOMPLEX,58209.63173,7/27/2020,11/19/2020,2020,115,July,North Coast
RIVER,20321.24646,8/16/2020,9/4/2020,2020,19,August,Central Coast
RIVERCOMPLEX,80677.45852,7/31/2021,10/25/2021,2021,86,July,North Coast
SALT,5098.785917,6/30/2021,10/26/2021,2021,118,June,North Coast
SCUCOMPLEX,160592.4727,8/16/2020,9/11/2020,2020,26,August,Central Coast
SHEEP,11955.11938,8/17/2020,9/7/2020,2020,21,August,Sierra Nevada
SLATER,63711.04816,9/8/2020,12/12/2020,2020,95,September,North Coast
SLINK,10826.06055,8/29/2020,11/13/2020,2020,76,August,Sierra Nevada
SOUTH,2158.589356,9/5/2019,12/2/2019,2019,88,September,North Coast
STAGECOACH,3136.641036,8/3/2020,8/18/2020,2020,15,August,Sierra Nevada
SUGAR,42494.53662,7/2/2021,10/28/2021,2021,118,July,Sierra Nevada
TABOOSE,4155.163086,9/4/2019,11/23/2019,2019,80,September,North Coast
WALKER,22102.34723,9/4/2019,1/15/2020,2019,133,September,Sierra Nevada
WALKERS,3552.723594,8/15/2021,12/8/2021,2021,115,August,Sierra Nevada
WALLBRIDGE,22342.73573,8/17/2020,9/2/2020,2020,16,August,Central Coast
WINDY,39469.16228,9/10/2021,11/11/2021,2021,62,September,Sierra Nevada
ZOGG,22799.71671,9/27/2020,10/13/2020,2020,16,September,North Coast
